name,rating,age,gender,country
"Haidary,",2168,49,M,AFG
"Nesar,",2153,27,M,AFG
"Mehrad,",2027,34,M,AFG
"Kanz,",2025,27,M,AFG
Abdul,2000,36,M,AFG
"Asefi,",1956,59,M,AFG
"Mohtaat,",1927,52,M,AFG
"Ayyoubi,",,0,M,AFG
"Sarwari,",1912,35,M,AFG
"Mohibi,",1886,41,M,AFG
"Badghisi,",1856,26,M,AFG
Erfan,1827,18,M,AFG
"Babrak,",1809,55,M,AFG
Abasin,1725,28,M,AFG
Khatibi,1705,21,M,AFG
"Zhakfar,",1675,45,M,AFG
Zahra,1663,25,M,AFG
Hassibullah,1611,22,M,AFG
Nader,1608,41,M,AFG
Shir,1542,48,M,AFG
Ibrahim,1411,28,M,AFG
"Ashiku,",2396,31,M,ALB
"Pasko,",2395,33,M,ALB
"Mehmeti,",2362,46,M,ALB
"Xhembulla,",2334,18,M,ALB
"Seitaj,",2314,67,M,ALB
"Veleshnja,",2283,23,M,ALB
"Qendro,",2277,71,M,ALB
"Petritaj,",2258,42,M,ALB
"Zeneli,",2249,20,M,ALB
"Ramaj,",2180,16,M,ALB
"Boci,",2176,14,M,ALB
"Petritaj,",2165,61,M,ALB
"Kabo,",2163,42,M,ALB
"Bregu,",2128,33,M,ALB
"Rama,",2086,60,M,ALB
"Guxho,",2070,55,M,ALB
"Sula,",2021,64,M,ALB
"Bezhani,",2019,74,M,ALB
"Kosta,",2015,17,M,ALB
"Pasku,",2012,69,M,ALB
"Shuqja,",2005,18,M,ALB
"Geske,",2003,29,M,ALB
"Caku,",1990,14,M,ALB
"Mihasi,",1987,32,M,ALB
"Mejdini,",1983,66,M,ALB
"Cika,",1968,69,M,ALB
"Shabanaj,",1954,45,M,ALB
"Kola,",1940,40,M,ALB
Katana,1930,63,M,ALB
"Spahiu,",1922,55,M,ALB
"Kaci,",1919,35,M,ALB
"Dafa,",1915,18,M,ALB
"Mihasi,",1914,57,M,ALB
"Stavri,",1912,68,M,ALB
"Masha,",1909,58,M,ALB
"Boci,",1907,20,M,ALB
"Hoxhaj,",1898,55,M,ALB
"Omeri,",1889,16,M,ALB
"Ndreu,",1888,26,M,ALB
"Kaja,",1886,59,M,ALB
"Gjoka,",1883,34,M,ALB
"Cani,",1879,50,M,ALB
"Meleqi,",1878,21,M,ALB
"Gjika,",1878,27,M,ALB
"Salihaj,",1872,23,M,ALB
"Zhupa,",1871,43,M,ALB
"Bekurti,",1871,68,M,ALB
"Haxhia,",1871,76,M,ALB
"Salihaj,",1871,62,M,ALB
"Keputa,",1869,29,M,ALB
"Zotaj,",1868,65,M,ALB
"Guri,",1864,17,M,ALB
"Gjyzari,",1862,30,M,ALB
"Petro,",1860,37,M,ALB
"Zenaj,",1857,45,M,ALB
"Ceka,",1854,57,M,ALB
"Sinanaj,",1852,28,M,ALB
"Yzeiraj,",1848,31,M,ALB
"Skuqi,",1848,83,M,ALB
"Hoxha,",1847,68,M,ALB
"Baqli,",1842,54,M,ALB
"Grabova,",1836,42,M,ALB
"Kote,",1832,15,M,ALB
"Tani,",1825,34,M,ALB
"Capaliku,",1820,26,M,ALB
"Bushi,",1819,26,M,ALB
"Bajraktari,",1818,47,M,ALB
"Gazhdaj,",1816,39,M,ALB
"Margjeka,",1815,57,M,ALB
"Bajraktari,",1809,67,M,ALB
"Dano,",1807,62,M,ALB
"Shehu,",1807,17,M,ALB
"Kerciku,",1794,25,M,ALB
"Aruci,",1788,17,M,ALB
"Temali,",1767,43,M,ALB
"Citozi,",1764,77,M,ALB
"Tashi,",1759,77,M,ALB
"Jasimi,",1756,40,M,ALB
"Kubati,",1750,34,M,ALB
"Hoxha,",1746,64,M,ALB
"Zenuni,",1742,55,M,ALB
"Stafa,",1738,15,M,ALB
"Polo,",1733,29,M,ALB
"Tusha,",1733,59,M,ALB
"Cani,",1714,11,M,ALB
"Shabanaj,",1711,79,M,ALB
"Cani,",1697,19,M,ALB
"Vela,",1695,25,M,ALB
"Sinani,",1689,39,M,ALB
"Cacaj,",1680,19,M,ALB
"Ndreko,",1678,12,M,ALB
"Lecini,",1675,32,M,ALB
"Lisha,",1670,14,M,ALB
"Malocaj,",1668,58,M,ALB
"Isufi,",1665,15,M,ALB
"Shyti,",1661,18,M,ALB
"Guri,",1653,65,M,ALB
"Kotorri,",1635,36,M,ALB
"Bello,",1617,15,M,ALB
"Llapushi,",1611,57,M,ALB
"Shuqja,",2005,18,F,ALB
"Geske,",2003,29,F,ALB
"Caku,",1990,14,F,ALB
"Shabanaj,",1954,45,F,ALB
"Omeri,",1889,16,F,ALB
"Kerciku,",1794,25,F,ALB
"Ndreko,",1678,12,F,ALB
"Ramaj,",1578,14,F,ALB
"Shqau,",1572,22,F,ALB
"Paja,",1560,54,F,ALB
"Cota,",1474,14,F,ALB
"Hoxha,",1458,11,F,ALB
"Perihana,",1419,12,F,ALB
Henderson,AND,21,M,AND
De,AND,52,M,AND
Fluvia,2421,40,M,AND
Porras,2334,33,M,AND
Ribera,2317,17,M,AND
"Simonet,",2222,47,M,AND
Gomez,2195,41,M,AND
Visa,2193,35,M,AND
Cortes,2176,36,M,AND
Ribera,2141,21,M,AND
Gonzalez,2135,45,M,AND
Luke,2110,38,M,AND
Mateu,2087,32,M,AND
Ribera,2067,52,M,AND
Garcia,2028,72,M,AND
Guerra,2022,50,M,AND
Cots,2010,56,M,AND
Henderson,AND,23,M,AND
Cabarcos,1960,27,M,AND
Santamaria,1953,71,M,AND
Alcon,1928,21,M,AND
Morente,1923,34,M,AND
Rechi,1920,68,M,AND
"Ercoli,",1918,14,M,AND
Martinez,1918,19,M,AND
Montraveta,1889,50,M,AND
Rechi,1869,42,M,AND
SINFREU,1865,40,M,AND
Casanovas,1846,27,M,AND
Muratet,1831,29,M,AND
De,AND,19,M,AND
Muratet,1794,34,M,AND
Rechi,1762,44,M,AND
"Furman,",1742,35,M,AND
"Henderson,",1742,56,M,AND
Real,1731,50,M,AND
Vanyo,1727,71,M,AND
Barragan,1702,54,M,AND
Moscoso,1646,70,M,AND
Galera,1639,26,M,AND
Perez,1617,51,M,AND
Montoliu,1578,32,M,AND
Rivero,1567,18,M,AND
De,AND,15,M,AND
Reyes,1516,11,M,AND
Llopis,1456,21,M,AND
"PETZKA,",1443,23,M,AND
Henderson,AND,23,F,AND
Muratet,1831,29,F,AND
De,AND,19,F,AND
Muratet,1794,34,F,AND
Real,1731,50,F,AND
Galera,1639,26,F,AND
De,AND,15,F,AND
Llopis,1456,21,F,AND
"PETZKA,",1443,23,F,AND
"Mareco,",2580,37,M,ARG
"Felgaer,",2555,43,M,ARG
"Flores,",2552,42,M,ARG
"Peralta,",2546,45,M,ARG
Perez,2536,31,M,ARG
"Tristan,",2531,35,M,ARG
"Sosa,",2520,26,M,ARG
"Kiselev,",2504,36,M,ARG
"Krysa,",2496,32,M,ARG
"Lemos,",2474,34,M,ARG
"Acosta,",2454,25,M,ARG
"Villanueva,",2451,40,M,ARG
Real,2448,39,M,ARG
"Valerga,",2445,53,M,ARG
"Fiorito,",2434,14,M,ARG
"Oro,",2433,11,M,ARG
"Villca,",2425,23,M,ARG
"Liascovich,",2417,40,M,ARG
"Minzer,",2410,56,M,ARG
"Hobaica,",2409,50,M,ARG
"Fiorito,",2408,17,M,ARG
"Paveto,",2407,32,M,ARG
"Coro,",2401,23,M,ARG
"Spata,",2399,37,M,ARG
"Manzone,",2395,37,M,ARG
"Languidey,",2392,32,M,ARG
"Schnaider,",2392,13,M,ARG
"Tokman,",2390,32,M,ARG
"Adla,",2390,56,M,ARG
"Slipak,",2387,59,M,ARG
